,Brand Name,Specific Bar Origin,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Bean Origin
230,Bonnat,Libanio,629,2011,75%,France,3.75,Trinitario,Brazil
231,Bonnat,Haiti,629,2011,75%,France,4.0,Trinitario,Haiti
232,Bonnat, 100% criollo,629,2011,75%,France,4.0,Criollo,Madagascar
233,Bonnat,Juliana,672,2011,75%,France,3.5,Trinitario,Brazil
234,Bonnat,Jamaique,761,2011,75%,France,3.25,Trinitario,Jamaica
235,Bonnat,Ivory Coast,331,2009,75%,France,3.0,Trinitario,Ivory Coast
236,Bonnat,Porcelana,336,2009,75%,France,2.75,Criollo,Peru
237,Bonnat,Porcelana,336,2009,75%,France,3.0,Criollo,Mexico
238,Bonnat,Xoconusco,395,2009,75%,France,3.0,Criollo,Mexico
239,Bonnat,Porcelana,199,2008,75%,France,4.0,Criollo (Porcelana),Venezuela
240,Bonnat,Equateur,123,2007,75%,France,2.5,Forastero (Arriba),Ecuador
241,Bonnat,Trinite,24,2006,75%,France,3.75,Trinitario,Carribean
242,Bonnat,Ocumare,32,2006,75%,France,4.0,Criollo,Venezuela
243,Bonnat,Maracaibo,48,2006,75%,France,4.0,Criollo,Venezuela
244,Bonnat,Madagascar,75,2006,75%,France,4.0,Trinitario,Madagascar
246,Bonnat,Ceylan,81,2006,75%,France,3.0,Trinitario,Sri Lanka
247,Bonnat,Chuao,81,2006,75%,France,4.0,Trinitario,Venezuela
248,Bouga Cacao,El Oro,316,2009,77%,Ecuador,3.25,Forastero (Arriba),Ecuador
249,Bouga Cacao,El Oro,341,2009,100%,Ecuador,1.5,Forastero (Arriba),Ecuador
250,Bowler Man,Maya Mountain,1267,2014,70%,U.S.A.,2.75,Trinitario,Belize
251,Bowler Man,Conacado,1271,2014,70%,U.S.A.,2.75,Trinitario,Dominican Republic
252,Brasstown aka It's Chocolate,Guasare,1868,2016,70%,U.S.A.,3.5,Criollo,Venezuela
253,Brasstown aka It's Chocolate,O'payo,1868,2016,70%,U.S.A.,3.75,Trinitario,Nicaragua
254,Brasstown aka It's Chocolate,Conacado,1462,2015,68%,U.S.A.,3.75,Trinitario,Dominican Republic
255,Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70%,U.S.A.,3.75,Trinitario,Belize
256,Brasstown aka It's Chocolate,Chuao,1355,2014,70%,U.S.A.,4.0,Trinitario,Venezuela
257,Brasstown aka It's Chocolate,Cooproagro,1125,2013,72%,U.S.A.,3.0,Trinitario,Dominican Republic
258,Brasstown aka It's Chocolate,Camino Verde,1125,2013,70%,U.S.A.,3.25,Forastero (Arriba),Ecuador
259,Brasstown aka It's Chocolate,Ghana,1129,2013,75%,U.S.A.,3.5,Forastero,Ghana
260,Brasstown aka It's Chocolate,Chuao,1129,2013,85%,U.S.A.,3.5,Trinitario,Venezuela
261,Brazen,Elvesia P.,1514,2015,60%,U.S.A.,3.0,Trinitario,Dominican Republic
262,Brazen,Elvesia P.,1514,2015,80%,U.S.A.,3.25,Trinitario,Dominican Republic
263,Brazen,Alta Verapaz,1514,2015,70%,U.S.A.,3.5,Trinitario,Guatemala
264,Brazen,Ambolikapiky P.,1518,2015,80%,U.S.A.,2.75,Trinitario,Madagascar
265,Brazen,Maya Mountain,1518,2015,80%,U.S.A.,3.25,Trinitario,Belize
266,Brazen,Ambolikapkly P.,1518,2015,60%,U.S.A.,3.25,Trinitario,Madagascar
267,Breeze Mill,Jamaica,1149,2013,70%,U.S.A.,3.0,Trinitario,Jamaica
268,Bright,Somia Plantation,1231,2014,72%,Australia,3.0,Trinitario,Madagascar
269,Bright,Marabel Farms,1231,2014,70%,Australia,3.5,Trinitario,Dominican Republic
270,Bright,Camino Verde,1231,2014,72%,Australia,3.5,Forastero (Arriba),Ecuador
271,Bright,Gran Couva,1235,2014,68%,Australia,2.75,Trinitario,Trinidad
272,Britarev,Ecuador,1638,2015,70%,Russia,3.25,Forastero (Arriba),Ecuador
273,Bronx Grrl Chocolate,Dominican Republic,1181,2013,68%,U.S.A.,2.75,Trinitario,Dominican Republic
